Number ,County,District
1,Adair,8
2,Allen,3
3,Anderson,7
4,Ballard,1
5,Barren,3
6,Bath,9
7,Bell,11
8,Boone,6
9,Bourbon,7
10,Boyd,9
11,Boyle,7
12,Bracken,6
13,Breathitt,10
14,Breckinridge,4
15,Bullit,5
16,Butler,3
17,Caldwell,2
18,Calloway,1
19,Campbell,6
20,Carlisle,1
21,Carroll,6
22,Carter,9
23,Casey,8
24,Christian,2
25,Clark,7
26,Clay,11
27,Clinton,8
28,Crittenden,1
29,Cumberland,8
30,Daviess,2
31,Edmonson,3
32,Elliott,9
33,Estill,10
34,Fayette,7
35,Fleming,9
36,Floyd,12
37,Franklin,5
38,Fulton,1
39,Gallatin,6
40,Garrard,7
41,Grant,6
42,Graves,1
43,Grayson,4
44,Green,4
45,Greenup,9
46,Hancock,2
47,Hardin,4
48,Harlan,11
49,Harrison,6
50,Hart,4
51,Henderson,2
52,Henry,5
53,Hickman,1
54,Hopkins,2
55,Jackson,11
56,Jefferson,5
57,Jessamine,7
58,Johnson,12
59,Kenton,6
60,Knott,12
61,Knox,11
62,Larue,4
63,Laurel,11
64,Lawrence,12
65,Lee,10
66,Leslie,11
67,Letcher,12
68,Lewis,9
69,Lincoln,8
70,Livingston,1
71,Logan,3
72,Lyon,1
73,McCracken,1
74,McCreary,8
75,McLean,2
76,Madison,7
77,Magoffin,10
78,Marion,4
79,Marshall,1
80,Martin,12
81,Mason,9
82,Meade,4
83,Menifee,10
84,Mercer,7
85,Metcalfe,3
86,Monroe,3
87,Montgomery,7
88,Morgan,10
89,Muhlenberg,2
90,Nelson,4
91,Nicholas,9
92,Ohio,2
93,Oldham,5
94,Owen,6
95,Owsley,10
96,Pendleton,6
97,Perry,10
98,Pike,12
99,Powell,10
100,Pulaski,8
101,Robertson,6
102,Rockcastle,8
103,Rowan,9
104,Russell,8
105,Scott,7
106,Shelby,5
107,Simpson,3
108,Spencer,5
109,Taylor,4
110,Todd,3
111,Trigg,1
112,Trimble,5
113,Union,2
114,Warren,3
115,Washington,4
116,Wayne,8
117,Webster,2
118,Whitley,11
119,Wolfe,10
120,Woodford,7
